query	runtime_sec	exit_code	hits
s4-0035-0015	231	0	0
s4-0036-0000	244	0	149
s4-0036-0001	230	0	27
s4-0036-0002	31	0	16
s4-0036-0003	30	0	5
s4-0036-0004	31	0	47
s4-0036-0005	52	0	411
s4-0036-0006	230	0	56
s4-0036-0007	36	0	61
s4-0036-0008	33	0	13
s4-0036-0009	30	0	1
s4-0036-0010	70	0	11
s4-0036-0011	236	0	0
s4-0036-0012	39	0	184
s4-0036-0013	30	0	0
s4-0036-0014	230	0	0
s4-0036-0015	232	0	0
s4-0037-0000	276	0	1302
s4-0037-0001	246	0	316
s4-0037-0002	241	0	461
s4-0037-0003	31	0	50
s4-0037-0004	256	0	774
s4-0037-0005	323	0	3384
s4-0037-0006	248	0	598
s4-0037-0007	229	0	75
s4-0037-0008	36	0	352
s4-0037-0009	232	0	44
s4-0037-0010	85	0	3524
s4-0037-0011	246	0	286
s4-0037-0012	39	0	551
s4-0037-0013	255	0	664
s4-0037-0014	226	0	0
s4-0037-0015	30	0	0
s4-0038-0000	337	0	90
s4-0038-0001	332	0	67
s4-0038-0002	41	0	56
s4-0038-0003	292	0	342
s4-0038-0004	288	0	33
s4-0038-0005	293	0	38
s4-0038-0006	296	0	43
s4-0038-0007	290	0	0
s4-0038-0008	288	0	25
s4-0038-0009	39	0	10
s4-0038-0010	292	0	8
s4-0038-0011	278	0	6
s4-0038-0012	304	0	10
s4-0038-0013	304	0	7
s4-0038-0014	54	0	1
s4-0038-0015	54	0	0
s4-0039-0000	339	0	100
s4-0039-0001	87	0	27
s4-0039-0002	282	0	37
s4-0039-0003	45	0	108
s4-0039-0004	287	0	29
s4-0039-0005	40	0	12
s4-0039-0006	40	0	7
s4-0039-0007	300	0	27
s4-0039-0008	280	0	12
s4-0039-0009	284	0	35
s4-0039-0010	43	0	36
s4-0039-0011	42	0	0
s4-0039-0012	43	0	9
s4-0039-0013	43	0	23
s4-0039-0014	359	0	4
s4-0039-0015	364	0	0
s4-0040-0000	51	0	75
s4-0040-0001	336	0	99
s4-0040-0002	41	0	35
s4-0040-0003	296	0	251
s4-0040-0004	290	0	25
s4-0040-0005	280	0	17
s4-0040-0006	85	0	13
s4-0040-0007	45	0	93
s4-0040-0008	41	0	22
s4-0040-0009	40	0	41
s4-0040-0010	43	0	48
s4-0040-0011	41	0	0
s4-0040-0012	42	0	14
s4-0040-0013	309	0	37
s4-0040-0014	353	0	17
s4-0040-0015	363	0	0
s4-0041-0000	423	0	3058
s4-0041-0001	76	0	1649
s4-0041-0002	59	0	1457
s4-0041-0003	49	0	400
s4-0041-0004	346	0	1736
s4-0041-0005	51	0	736
s4-0041-0006	389	0	3245
s4-0041-0007	61	0	1098
s4-0041-0008	61	0	1290
s4-0041-0009	335	0	1599
s4-0041-0010	174	0	4243
s4-0041-0011	313	0	528
s4-0041-0012	322	0	361
s4-0041-0013	328	0	474
s4-0041-0014	66	0	450
s4-0041-0015	358	0	30
s5-0000-0000	32	0	0
s5-0000-0001	235	0	0
s5-0000-0002	30	0	0
s5-0000-0003	232	0	0
s5-0000-0004	222	0	0
s5-0000-0005	231	0	0
s5-0000-0006	231	0	0
s5-0000-0007	30	0	0
s5-0000-0008	236	0	0
s5-0000-0009	233	0	0
s5-0000-0010	33	0	0
s5-0000-0011	30	0	0
s5-0000-0012	234	0	0
s5-0000-0013	30	0	0
s5-0000-0014	30	0	0
s5-0000-0015	229	0	0
s5-0000-0016	30	0	0
s5-0000-0017	30	0	0
s5-0000-0018	30	0	0
s5-0000-0019	31	0	1
s5-0000-0020	31	0	0
s5-0000-0021	31	0	0
s5-0000-0022	229	0	0
s5-0000-0023	229	0	0
s5-0000-0024	31	0	0
s5-0000-0025	234	0	0
s5-0000-0026	229	0	0
s5-0000-0027	236	0	0
s5-0000-0028	233	0	0
s5-0000-0029	232	0	0
s5-0000-0030	32	0	0
s5-0000-0031	29	0	0
s5-0001-0000	237	0	0
s5-0001-0001	33	0	0
s5-0001-0002	31	0	0
s5-0001-0003	31	0	0
s5-0001-0004	230	0	0
s5-0001-0005	229	0	0
s5-0001-0006	229	0	0
s5-0001-0007	228	0	0
s5-0001-0008	233	0	0
s5-0001-0009	31	0	0
s5-0001-0010	239	0	0
s5-0001-0011	236	0	0
s5-0001-0012	28	0	0
s5-0001-0013	30	0	0
s5-0001-0014	30	0	0
s5-0001-0015	30	0	0
s5-0001-0016	31	0	0
s5-0001-0017	227	0	0
s5-0001-0018	31	0	0
s5-0001-0019	229	0	0
s5-0001-0020	240	0	0
s5-0001-0021	30	0	0
s5-0001-0022	234	0	0
s5-0001-0023	31	0	0
s5-0001-0024	31	0	0
s5-0001-0025	30	0	0
s5-0001-0026	31	0	0
s5-0001-0027	68	0	0
s5-0001-0028	32	0	0
s5-0001-0029	235	0	0
s5-0001-0030	232	0	0
s5-0001-0031	236	0	0
s5-0002-0000	32	0	0
s5-0002-0001	32	0	0
s5-0002-0002	31	0	0
s5-0002-0003	31	0	0
s5-0002-0004	31	0	0
s5-0002-0005	30	0	0
s5-0002-0006	226	0	0
s5-0002-0007	30	0	0
s5-0002-0008	32	0	0
s5-0002-0009	30	0	0
s5-0002-0010	31	0	0
s5-0002-0011	31	0	0
s5-0002-0012	234	0	0
s5-0002-0013	234	0	0
s5-0002-0014	228	0	0
s5-0002-0015	68	0	0
s5-0002-0016	30	0	0
s5-0002-0017	233	0	0
s5-0002-0018	233	0	0
s5-0002-0019	30	0	1
s5-0002-0020	237	0	0
s5-0002-0021	243	0	0
s5-0002-0022	31	0	0
s5-0002-0023	234	0	0
s5-0002-0024	30	0	0
s5-0002-0025	31	0	0
s5-0002-0026	32	0	0
s5-0002-0027	233	0	0
s5-0002-0028	234	0	0
s5-0002-0029	31	0	0
s5-0002-0030	236	0	0
s5-0002-0031	31	0	0
s5-0003-0000	238	0	0
s5-0003-0001	31	0	0
s5-0003-0002	31	0	0
s5-0003-0003	31	0	0
s5-0003-0004	225	0	0
s5-0003-0005	31	0	0
s5-0003-0006	30	0	0
s5-0003-0007	66	0	0
s5-0003-0008	236	0	0
s5-0003-0009	232	0	0
s5-0003-0010	31	0	0
s5-0003-0011	232	0	0
s5-0003-0012	230	0	0
s5-0003-0013	230	0	0
s5-0003-0014	29	0	0
s5-0003-0015	31	0	0
s5-0003-0016	31	0	0
s5-0003-0017	229	0	0
s5-0003-0018	234	0	0
s5-0003-0019	233	0	0
s5-0003-0020	242	0	0
s5-0003-0021	242	0	0
s5-0003-0022	32	0	0
s5-0003-0023	236	0	0
s5-0003-0024	233	0	0
s5-0003-0025	235	0	0
s5-0003-0026	231	0	0
s5-0003-0027	232	0	0
s5-0003-0028	31	0	0
s5-0003-0029	235	0	0
s5-0003-0030	30	0	0
s5-0003-0031	234	0	0
s5-0004-0000	238	0	0
s5-0004-0001	32	0	0
s5-0004-0002	31	0	0
s5-0004-0003	32	0	0
s5-0004-0004	231	0	0
s5-0004-0005	31	0	0
s5-0004-0006	225	0	0
s5-0004-0007	228	0	0
s5-0004-0008	232	0	0
s5-0004-0009	230	0	0
s5-0004-0010	235	0	0
s5-0004-0011	33	0	0
s5-0004-0012	32	0	0
s5-0004-0013	68	0	0
s5-0004-0014	31	0	0
s5-0004-0015	31	0	0
s5-0004-0016	229	0	0
s5-0004-0017	32	0	0
s5-0004-0018	31	0	0
s5-0004-0019	232	0	0
s5-0004-0020	239	0	0
s5-0004-0021	239	0	0
s5-0004-0022	30	0	0
s5-0004-0023	31	0	0
s5-0004-0024	31	0	0
s5-0004-0025	31	0	0
s5-0004-0026	32	0	0
s5-0004-0027	222	0	0
s5-0004-0028	237	0	0
s5-0004-0029	31	0	0
s5-0004-0030	233	0	0
s5-0004-0031	31	0	0
s5-0005-0000	50	0	0
s5-0005-0001	89	0	0
s5-0005-0002	48	0	0
s5-0005-0003	47	0	1
s5-0005-0004	285	0	0
s5-0005-0005	40	0	0
s5-0005-0006	39	0	0
s5-0005-0007	38	0	0
s5-0005-0008	286	0	0
s5-0005-0009	280	0	0
s5-0005-0010	293	0	0
s5-0005-0011	286	0	0
s5-0005-0012	298	0	0
s5-0005-0013	41	0	0
s5-0005-0014	287	0	0
s5-0005-0015	42	0	0
s5-0005-0016	283	0	0
s5-0005-0017	283	0	0
s5-0005-0018	39	0	0
s5-0005-0019	38	0	0
s5-0005-0020	42	0	0
s5-0005-0021	296	0	0
s5-0005-0022	45	0	0
s5-0005-0023	294	0	0
s5-0005-0024	305	0	0
s5-0005-0025	300	0	0
s5-0005-0026	302	0	0
s5-0005-0027	44	0	0
s5-0005-0028	55	0	0
s5-0005-0029	93	0	0
s5-0005-0030	53	0	0
s5-0005-0031	55	0	0
s5-0006-0000	49	0	0
s5-0006-0001	321	0	0
s5-0006-0002	318	0	0
s5-0006-0003	331	0	0
s5-0006-0004	282	0	0
s5-0006-0005	278	0	0
s5-0006-0006	37	0	0
s5-0006-0007	279	0	0
s5-0006-0008	286	0	0
s5-0006-0009	282	0	0
s5-0006-0010	287	0	0
s5-0006-0011	289	0	0
s5-0006-0012	295	0	0
s5-0006-0013	293	0	0
s5-0006-0014	293	0	0
